1,1,1,282,1,1828,-99,-99,-99,-99,1,3932,1,2,1,21,21,2,34.158
2,1,1,13,1,2183,-99,-99,-99,-99,2,3434,1,4,2,21,21,2,34.158
3,1,1,171,1,1223,-99,-99,-99,-99,2,2291,1,6,2,21,21,2,34.158
4,1,1,349,1,1727,-99,-99,-99,-99,1,1388,1,1,1,21,21,2,34.158
5,1,1,60,1,1227,-99,-99,-99,-99,2,2476,1,6,2,21,21,2,34.158
6,1,1,220,1,1033,-99,-99,-99,-99,1,1032,2,2,2,21,21,2,34.158
7,1,1,11,1,1096,-99,-99,-99,-99,1,1910,1,3,1,21,21,2,34.158
8,1,1,335,1,642,-99,-99,-99,-99,1,498,1,1,1,21,21,2,34.158
9,1,1,343,1,1007,-99,-99,-99,-99,2,1195,1,4,2,21,21,2,34.158
10,1,1,160,1,1238,-99,-99,-99,-99,2,2489,2,5,1,21,21,2,34.158
11,1,1,51,1,1437,-99,-99,-99,-99,1,1290,2,3,2,21,21,2,34.158
12,1,1,336,1,1438,-99,-99,-99,-99,2,1020,2,5,1,21,21,2,34.158
13,1,1,176,1,1601,-99,-99,-99,-99,1,1344,2,2,2,21,21,2,34.158
14,1,1,117,1,892,-99,-99,-99,-99,2,1079,2,4,1,21,21,2,34.158
15,1,1,266,1,1519,-99,-99,-99,-99,1,1110,1,1,1,21,21,2,34.158
16,1,1,345,1,1423,-99,-99,-99,-99,2,1183,1,4,2,21,21,2,34.158
17,1,1,75,1,3793,-99,-99,-99,-99,2,1894,2,5,1,21,21,2,34.158
18,1,1,94,1,1587,-99,-99,-99,-99,1,1050,2,3,2,21,21,2,34.158
19,1,1,20,1,1149,-99,-99,-99,-99,2,1040,1,5,2,21,21,2,34.158
20,1,1,105,1,1164,-99,-99,-99,-99,2,1381,2,5,1,21,21,2,34.158
21,1,1,83,1,612,-99,-99,-99,-99,2,748,1,6,2,21,21,2,34.158
22,1,1,154,0,1470,-99,-99,-99,-99,1,740,1,2,1,21,21,2,34.158
23,2,1,340,1,2705,-99,-99,-99,-99,2,792,1,6,2,21,21,2,34.158
24,2,1,16,1,1063,-99,-99,-99,-99,2,745,1,6,2,21,21,2,34.158
25,2,1,22,1,1510,-99,-99,-99,-99,2,469,1,6,2,21,21,2,34.158
26,2,1,19,1,2760,-99,-99,-99,-99,1,1045,2,1,2,21,21,2,34.158
27,2,1,268,1,1064,-99,-99,-99,-99,2,803,1,6,2,21,21,2,34.158
28,2,1,187,1,1979,-99,-99,-99,-99,1,802,1,1,1,21,21,2,34.158
29,2,1,236,1,1894,-99,-99,-99,-99,1,710,1,1,1,21,21,2,34.158
30,2,1,129,1,1996,-99,-99,-99,-99,1,307,1,1,1,21,21,2,34.158
31,2,1,222,1,1971,-99,-99,-99,-99,2,1195,1,6,2,21,21,2,34.158
32,2,1,248,1,1705,-99,-99,-99,-99,1,722,1,1,1,21,21,2,34.158
33,2,1,14,1,1453,-99,-99,-99,-99,1,833,1,1,1,21,21,2,34.158
34,2,1,47,1,1846,-99,-99,-99,-99,2,882,2,6,1,21,21,2,34.158
35,2,1,98,1,1791,-99,-99,-99,-99,2,3672,2,5,1,21,21,2,34.158
36,2,1,216,1,1653,-99,-99,-99,-99,1,880,2,2,2,21,21,2,34.158
37,2,1,178,1,1647,-99,-99,-99,-99,1,398,1,1,1,21,21,2,34.158
38,2,1,296,1,1859,-99,-99,-99,-99,2,322,1,6,2,21,21,2,34.158
39,2,1,5,1,1945,-99,-99,-99,-99,2,271,1,6,2,21,21,2,34.158
40,2,1,255,1,1543,-99,-99,-99,-99,1,1368,1,1,1,21,21,2,34.158
41,2,1,59,1,1169,-99,-99,-99,-99,1,308,1,1,1,21,21,2,34.158
42,2,1,150,1,1472,-99,-99,-99,-99,2,483,1,5,2,21,21,2,34.158
43,2,1,116,1,1331,-99,-99,-99,-99,2,673,2,6,1,21,21,2,34.158
44,2,1,102,1,1788,-99,-99,-99,-99,2,830,1,5,2,21,21,2,34.158
45,3,1,197,1,1494,-99,-99,-99,-99,2,1961,1,6,2,21,21,2,34.158
46,3,1,71,1,1963,-99,-99,-99,-99,1,641,1,2,1,21,21,2,34.158
47,3,1,370,1,1749,-99,-99,-99,-99,2,543,1,6,2,21,21,2,34.158
48,3,1,291,1,2219,-99,-99,-99,-99,2,304,1,6,2,21,21,2,34.158
49,3,1,254,1,1319,-99,-99,-99,-99,1,673,1,1,1,21,21,2,34.158
50,3,1,376,1,1269,-99,-99,-99,-99,1,1603,2,3,2,21,21,2,34.158
51,3,1,35,1,957,-99,-99,-99,-99,1,587,1,1,1,21,21,2,34.158
52,3,1,217,1,1171,-99,-99,-99,-99,2,279,1,6,2,21,21,2,34.158
53,3,1,384,1,1233,-99,-99,-99,-99,2,1011,1,6,2,21,21,2,34.158
54,3,1,332,1,1231,-99,-99,-99,-99,1,433,1,1,1,21,21,2,34.158
55,3,1,162,1,1636,-99,-99,-99,-99,1,171,1,1,1,21,21,2,34.158
56,3,1,206,1,1515,-99,-99,-99,-99,2,1202,2,5,1,21,21,2,34.158
57,3,1,39,1,774,-99,-99,-99,-99,1,646,1,1,1,21,21,2,34.158
58,3,1,285,1,1403,-99,-99,-99,-99,2,489,1,6,2,21,21,2,34.158
59,3,1,348,1,1365,-99,-99,-99,-99,1,1046,1,1,1,21,21,2,34.158
60,3,1,342,1,635,-99,-99,-99,-99,1,493,1,1,1,21,21,2,34.158
61,3,1,142,0,1584,-99,-99,-99,-99,1,468,2,1,2,21,21,2,34.158
