1,1,1,334,2,4917,2,5,1,5,19,2,34.936
2,1,1,26,1,6295,1,3,1,5,19,2,34.936
3,1,1,252,1,3055,2,2,2,5,19,2,34.936
4,1,1,57,1,3289,1,1,1,5,19,2,34.936
5,1,1,262,1,1806,1,1,1,5,19,2,34.936
6,1,1,51,1,3862,2,1,2,5,19,2,34.936
7,1,1,268,2,2521,1,5,2,5,19,2,34.936
8,1,1,84,2,2628,2,4,1,5,19,2,34.936
9,1,1,113,2,1794,1,4,2,5,19,2,34.936
10,1,1,159,1,1981,2,3,2,5,19,2,34.936
11,1,1,58,1,5095,2,2,2,5,19,2,34.936
12,1,1,368,1,1975,2,2,2,5,19,2,34.936
13,1,1,217,1,4863,2,2,2,5,19,2,34.936
14,1,1,362,1,2371,1,2,1,5,19,2,34.936
15,1,1,269,2,3439,2,5,1,5,19,2,34.936
16,1,1,193,1,4555,2,3,2,5,19,2,34.936
17,1,1,157,2,1633,2,4,1,5,19,2,34.936
18,1,1,294,2,2087,2,4,1,5,19,2,34.936
19,1,1,333,2,824,2,4,1,5,19,2,34.936
20,1,1,354,1,4180,2,2,2,5,19,2,34.936
21,1,1,88,2,4091,2,5,1,5,19,2,34.936
22,1,1,37,2,1505,1,5,2,5,19,2,34.936
23,2,1,32,2,8570,2,5,1,5,19,2,34.936
24,2,1,62,2,3664,2,6,1,5,19,2,34.936
25,2,1,202,2,4799,1,5,2,5,19,2,34.936
26,2,1,184,1,1771,1,2,1,5,19,2,34.936
27,2,1,312,1,1720,1,2,1,5,19,2,34.936
28,2,1,363,1,3009,2,3,2,5,19,2,34.936
29,2,1,317,1,6814,2,2,2,5,19,2,34.936
30,2,1,205,1,1713,1,2,1,5,19,2,34.936
31,2,1,108,2,3343,1,4,2,5,19,2,34.936
32,2,1,181,1,4315,2,2,2,5,19,2,34.936
33,2,1,260,1,2478,2,3,2,5,19,2,34.936
34,2,1,212,1,1751,1,2,1,5,19,2,34.936
35,2,1,87,2,1904,2,4,1,5,19,2,34.936
36,2,1,122,1,2093,1,3,1,5,19,2,34.936
37,2,1,164,2,1413,1,4,2,5,19,2,34.936
38,2,1,47,1,2136,1,3,1,5,19,2,34.936
39,2,1,350,1,1448,2,3,2,5,19,2,34.936
40,2,1,339,2,1028,1,4,2,5,19,2,34.936
41,2,1,244,2,1206,2,4,1,5,19,2,34.936
42,2,1,27,2,1315,1,4,2,5,19,2,34.936
43,2,1,365,2,1217,1,4,2,5,19,2,34.936
44,2,1,356,1,3384,1,3,1,5,19,2,34.936
45,3,1,315,1,4176,2,2,2,5,19,2,34.936
46,3,1,175,1,1250,2,2,2,5,19,2,34.936
47,3,1,39,2,3694,1,4,2,5,19,2,34.936
48,3,1,255,1,2319,2,1,2,5,19,2,34.936
49,3,1,180,2,2220,2,5,1,5,19,2,34.936
50,3,1,282,2,2970,2,4,1,5,19,2,34.936
51,3,1,42,1,2068,2,3,2,5,19,2,34.936
52,3,1,261,2,3844,2,4,1,5,19,2,34.936
53,3,1,248,1,2305,1,2,1,5,19,2,34.936
54,3,1,266,1,1319,2,3,2,5,19,2,34.936
55,3,1,267,2,896,1,5,2,5,19,2,34.936
56,3,1,95,2,4372,1,6,2,5,19,2,34.936
57,3,1,229,1,1984,1,2,1,5,19,2,34.936
58,3,1,254,2,3475,2,4,1,5,19,2,34.936
59,3,1,227,1,1551,2,3,2,5,19,2,34.936
